food,exp_date
Apples, 5
Bananas, 3
Berries, 1
Broccoli, 3
Carrots, 7
Celery, 5
Citrus fruits, 5
Corn, 3
Cucumbers, 3
Eggs, 3
Garlic, 40
Grapes, 3
Green beans, 3
Lettuce, 3
Mushrooms, 7
Onions, 35
Oranges, 5
Papayas, 3
Peppers, 3
Potatoes, 7
Pumpkins, 35
Spinach, 3
Strawberries, 1
Tomatoes, 3
Watermelon, 5
Almonds, 90
Avocados, 7
Bacon, 7
Bagels, 5
Beef, 4
Blueberries, 3
Bread, 5
Butter, 30
Cabbage, 7
Cake, 4
Cheese, 14
Chicken, 2
Chocolate, 60
Cilantro, 5
Cinnamon, 365
Clams, 2
Coconut, 14
Coffee, 365
Cookies, 14
Cornbread, 3
Cranberries, 7
Cream, 7
Cereal, 180
Doughnuts, 3
Duck, 1
Fish, 2
Flaxseeds, 180
French fries, 3
Ginger, 60
Granola bars, 90
Ham, 7
Honey, 365
Ice cream, 90
Jam, 180
Kale, 7
Kiwi, 5
Lamb, 3
Lemon, 14
Lime, 14
Lobster, 2
Mango, 5
Mayonnaise, 60
Milk, 7
Mint, 14
Mustard, 365
Noodles, 365
Oats, 365
Oregano, 730
Pancakes, 5
Pasta, 730
Peanut butter, 365
Peas, 3
Pineapple, 5
Pistachios, 180
Pizza, 3
Popcorn, 365
Pork, 3
Quinoa, 365
Radishes, 7
Raspberries, 1
Rice, 730
Rosemary, 365
Salmon, 2
Salt, 365
Sausages, 4
Shrimp, 2
Sour cream, 7
Soy sauce, 1095
Spaghetti, 730
Squash, 7
Steak, 3
Sugar, 365
Sunflower seeds, 180
Syrup, 365
Tofu, 7
